Date : 2022-12-27 00:23:44
Directory : d:\dev\1CS Projects\BDD\frontend\lib
Total : 53 files,  4685 codes, 307 comments, 411 blanks, all 5403 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| to-dos\data                                                                                                               |          3 |        146 |          0 |         23 |        169 |
| to-dos\data\datasource                                                                                                    |          1 |         69 |          0 |         11 |         80 |
| to-dos\data\model                                                                                                         |          1 |         22 |          0 |          4 |         26 |
| to-dos\data\repository                                                                                                    |          1 |         55 |          0 |          8 |         63 |
| to-dos\domaine                                                                                                            |          7 |         82 |          0 |         27 |        109 |
| to-dos\domaine\entities                                                                                                   |          1 |         17 |          0 |          4 |         21 |
| to-dos\domaine\repository                                                                                                 |          1 |         10 |          0 |          3 |         13 |
| to-dos\domaine\usecases                                                                                                   |          5 |         55 |          0 |         20 |         75 |
| to-dos\presentation                                                                                                       |          4 |        513 |         14 |         33 |        560 |
| to-dos\presentation\controller                                                                                            |          3 |        133 |         10 |         21 |        164 |
| to-dos\presentation\controller\todo_bloc                                                                                  |          3 |        133 |         10 |         21 |        164 |
| to-dos\presentation\screens                                                                                               |          1 |        380 |          4 |         12 |        396 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                  | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\base_screen.dart                                     | Dart     |         90 |         15 |          6 |        111 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\coursedetail.dart                                    | Dart     |        337 |          1 |          9 |        347 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\mainpage.dart                                        | Dart     |        328 |          1 |         13 |        342 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\teacher\new_course.dart                              | Dart     |        346 |          2 |          9 |        357 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\teacher\teacher_base_screen.dart                     | Dart     |         83 |         15 |          7 |        105 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\teacher\teacher_courses.dart                         | Dart     |         73 |          0 |          3 |         76 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\teacher_detail.dart                                  | Dart     |        191 |          1 |          7 |        199 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\data\datasource\user_datasource.dart                                  | Dart     |        121 |          1 |         16 |        138 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\data\models\user_model.dart                                           | Dart     |         24 |          0 |          4 |         28 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\data\repository\user_repository_implem.dart                           | Dart     |         57 |          0 |         11 |         68 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\entities\user_entitiy.dart                                    | Dart     |         15 |          0 |          4 |         19 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\repository\user_repository.dart                               | Dart     |          9 |          0 |          8 |         17 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\usecases\choose_type_usecase.dart                             | Dart     |         10 |          0 |          4 |         14 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\usecases\login_usecase.dart                                   | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\usecases\logout_usecase.dart                                  | Dart     |         10 |          0 |          5 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\usecases\signup_usecase.dart                                  | Dart     |         11 |          0 |          5 |         16 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\presentation\controller\authentication_bloc\authentication_bloc.dart  | Dart     |        103 |          0 |          8 |        111 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\presentation\controller\authentication_bloc\authentication_event.dart | Dart     |         30 |          0 |         13 |         43 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\presentation\controller\authentication_bloc\authentication_state.dart | Dart     |         32 |          0 |         18 |         50 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\presentation\screens\choise.dart                                      | Dart     |        215 |          0 |          5 |        220 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\presentation\screens\login_page.dart                                  | Dart     |        359 |          7 |         14 |        380 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\presentation\screens\register_page.dart                               | Dart     |        328 |          0 |         16 |        344 |
| d:\dev\1CS Projects\BDD\frontend\lib\chat\presentation\screens\all_chat_screen.dart                                       | Dart     |        153 |          5 |          6 |        164 |
| d:\dev\1CS Projects\BDD\frontend\lib\chat\presentation\screens\chat_page.dart                                             | Dart     |        206 |          1 |         30 |        237 |
| d:\dev\1CS Projects\BDD\frontend\lib\cores\const\colors.dart                                                              | Dart     |          7 |          0 |          1 |          8 |
| d:\dev\1CS Projects\BDD\frontend\lib\cores\const\const.dart                                                               | Dart     |          3 |          0 |          0 |          3 |
| d:\dev\1CS Projects\BDD\frontend\lib\cores\error\exceptions.dart                                                          | Dart     |          9 |          1 |          8 |         18 |
| d:\dev\1CS Projects\BDD\frontend\lib\cores\error\failure.dart                                                             | Dart     |         13 |          0 |          7 |         20 |
| d:\dev\1CS Projects\BDD\frontend\lib\cores\network\error_message_model.dart                                               | Dart     |         17 |          0 |          4 |         21 |
| d:\dev\1CS Projects\BDD\frontend\lib\cores\services\service_locator.dart                                                  | Dart     |         40 |         11 |         10 |         61 |
| d:\dev\1CS Projects\BDD\frontend\lib\cores\utils\enums.dart                                                               | Dart     |          5 |          0 |          0 |          5 |
| d:\dev\1CS Projects\BDD\frontend\lib\cores\widgets\text_input_field.dart                                                  | Dart     |         45 |          1 |          4 |         50 |
| d:\dev\1CS Projects\BDD\frontend\lib\main.dart                                                                            | Dart     |         27 |          0 |          6 |         33 |
| d:\dev\1CS Projects\BDD\frontend\lib\notifications\presentation\screens\notifications.dart                                | Dart     |         69 |          0 |          6 |         75 |
| d:\dev\1CS Projects\BDD\frontend\lib\oldmain.dart                                                                         | Dart     |          0 |         21 |          4 |         25 |
| d:\dev\1CS Projects\BDD\frontend\lib\profile\presentation\component\biography_page.dart                                   | Dart     |         83 |          0 |          5 |         88 |
| d:\dev\1CS Projects\BDD\frontend\lib\profile\presentation\screens\edit_profile.dart                                       | Dart     |        136 |          0 |          4 |        140 |
| d:\dev\1CS Projects\BDD\frontend\lib\profile\presentation\screens\profile_screen.dart                                     | Dart     |        348 |          5 |         13 |        366 |
| d:\dev\1CS Projects\BDD\frontend\lib\tempfile.dart                                                                        | Dart     |          0 |        205 |         31 |        236 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\data\datasource\todo_datasource.dart                                          | Dart     |         69 |          0 |         11 |         80 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\data\model\todo_model.dart                                                    | Dart     |         22 |          0 |          4 |         26 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\data\repository\todo_repo_emplem.dart                                         | Dart     |         55 |          0 |          8 |         63 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\entities\to_do_entity.dart                                            | Dart     |         17 |          0 |          4 |         21 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\repository\base_todo_repo.dart                                        | Dart     |         10 |          0 |          3 |         13 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\usecases\add_todo_usecase.dart                                        | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\usecases\delete_todo_usecase.dart                                     | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\usecases\edit_todo_usecase.dart                                       | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\usecases\get_done_todo_usecase.dart                                   | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\usecases\get_undone_todo_usecase.dart                                 | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\presentation\controller\todo_bloc\todo_bloc.dart                              | Dart     |         76 |          0 |          7 |         83 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\presentation\controller\todo_bloc\todo_event.dart                             | Dart     |         11 |          0 |          6 |         17 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\presentation\controller\todo_bloc\todo_state.dart                             | Dart     |         46 |         10 |          8 |         64 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\presentation\screens\todos.dart                                               | Dart     |        380 |          4 |         12 |        396 |
| Total                                                                                                                     |          |      4,685 |        307 |        411 |      5,403 |
+---------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
