Date : 2022-12-27 00:23:44
Directory : d:\dev\1CS Projects\BDD\frontend\lib
Total : 53 files,  4685 codes, 307 comments, 411 blanks, all 5403 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         53 |      4,685 |        307 |        411 |      5,403 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |         53 |      4,685 |        307 |        411 |      5,403 |
| MainScreen                                                                                                                |          7 |      1,448 |         35 |         54 |      1,537 |
| MainScreen\presentation                                                                                                   |          7 |      1,448 |         35 |         54 |      1,537 |
| MainScreen\presentation\screens                                                                                           |          7 |      1,448 |         35 |         54 |      1,537 |
| MainScreen\presentation\screens\teacher                                                                                   |          3 |        502 |         17 |         19 |        538 |
| authentication                                                                                                            |         15 |      1,335 |          8 |        135 |      1,478 |
| authentication\data                                                                                                       |          3 |        202 |          1 |         31 |        234 |
| authentication\data\datasource                                                                                            |          1 |        121 |          1 |         16 |        138 |
| authentication\data\models                                                                                                |          1 |         24 |          0 |          4 |         28 |
| authentication\data\repository                                                                                            |          1 |         57 |          0 |         11 |         68 |
| authentication\domaine                                                                                                    |          6 |         66 |          0 |         30 |         96 |
| authentication\domaine\entities                                                                                           |          1 |         15 |          0 |          4 |         19 |
| authentication\domaine\repository                                                                                         |          1 |          9 |          0 |          8 |         17 |
| authentication\domaine\usecases                                                                                           |          4 |         42 |          0 |         18 |         60 |
| authentication\presentation                                                                                               |          6 |      1,067 |          7 |         74 |      1,148 |
| authentication\presentation\controller                                                                                    |          3 |        165 |          0 |         39 |        204 |
| authentication\presentation\controller\authentication_bloc                                                                |          3 |        165 |          0 |         39 |        204 |
| authentication\presentation\screens                                                                                       |          3 |        902 |          7 |         35 |        944 |
| chat                                                                                                                      |          2 |        359 |          6 |         36 |        401 |
| chat\presentation                                                                                                         |          2 |        359 |          6 |         36 |        401 |
| chat\presentation\screens                                                                                                 |          2 |        359 |          6 |         36 |        401 |
| cores                                                                                                                     |          8 |        139 |         13 |         34 |        186 |
| cores\const                                                                                                               |          2 |         10 |          0 |          1 |         11 |
| cores\error                                                                                                               |          2 |         22 |          1 |         15 |         38 |
| cores\network                                                                                                             |          1 |         17 |          0 |          4 |         21 |
| cores\services                                                                                                            |          1 |         40 |         11 |         10 |         61 |
| cores\utils                                                                                                               |          1 |          5 |          0 |          0 |          5 |
| cores\widgets                                                                                                             |          1 |         45 |          1 |          4 |         50 |
| notifications                                                                                                             |          1 |         69 |          0 |          6 |         75 |
| notifications\presentation                                                                                                |          1 |         69 |          0 |          6 |         75 |
| notifications\presentation\screens                                                                                        |          1 |         69 |          0 |          6 |         75 |
| profile                                                                                                                   |          3 |        567 |          5 |         22 |        594 |
| profile\presentation                                                                                                      |          3 |        567 |          5 |         22 |        594 |
| profile\presentation\component                                                                                            |          1 |         83 |          0 |          5 |         88 |
| profile\presentation\screens                                                                                              |          2 |        484 |          5 |         17 |        506 |
| to-dos                                                                                                                    |         14 |        741 |         14 |         83 |        838 |
