Date : 2023-01-05 15:44:03
Directory : d:\dev\1CS Projects\BDD\frontend\lib
Total : 97 files,  9630 codes, 639 comments, 837 blanks, all 11106 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\coursedetail.dart                                    | Dart     |        393 |         10 |         11 |        414 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\mainpage.dart                                        | Dart     |        545 |          1 |         20 |        566 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\pdf_preview.dart                                     | Dart     |         19 |          0 |          4 |         23 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\quizz.dart\quizz_page.dart                           | Dart     |        447 |         45 |          9 |        501 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\search\search_screen.dart                            | Dart     |        313 |         17 |         15 |        345 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\teacher\add_chapter.dart                             | Dart     |        761 |         35 |         31 |        827 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\teacher\new_course.dart                              | Dart     |        885 |         26 |         29 |        940 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\teacher\teacher_base_screen.dart                     | Dart     |         97 |         15 |         10 |        122 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\teacher\teacher_courses.dart                         | Dart     |        225 |         23 |         10 |        258 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\teacher_detail.dart                                  | Dart     |        247 |          1 |          8 |        256 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\data\datasource\user_datasource.dart                                  | Dart     |        183 |          1 |         24 |        208 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\data\models\user_model.dart                                           | Dart     |         34 |          0 |          4 |         38 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\data\repository\user_repository_implem.dart                           | Dart     |         75 |          0 |         14 |         89 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\entities\user_entitiy.dart                                    | Dart     |         19 |          0 |          4 |         23 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\repository\user_repository.dart                               | Dart     |         12 |          1 |         14 |         27 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\usecases\choose_type_usecase.dart                             | Dart     |         10 |          0 |          4 |         14 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\usecases\get_user_detaills_usecase.dart                       | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\usecases\login_usecase.dart                                   | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\usecases\logout_usecase.dart                                  | Dart     |         10 |          0 |          5 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\usecases\set_biography_usecase.dart                           | Dart     |         10 |          0 |          4 |         14 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\domaine\usecases\signup_usecase.dart                                  | Dart     |         11 |          0 |          5 |         16 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\presentation\controller\authentication_bloc\authentication_bloc.dart  | Dart     |        139 |          0 |         11 |        150 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\presentation\controller\authentication_bloc\authentication_event.dart | Dart     |         42 |          0 |         18 |         60 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\presentation\controller\authentication_bloc\authentication_state.dart | Dart     |         40 |          0 |         19 |         59 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\presentation\screens\choise.dart                                      | Dart     |        215 |          0 |          5 |        220 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\presentation\screens\login_page.dart                                  | Dart     |        359 |          7 |         14 |        380 |
| d:\dev\1CS Projects\BDD\frontend\lib\authentication\presentation\screens\register_page.dart                               | Dart     |        328 |          1 |         16 |        345 |
| d:\dev\1CS Projects\BDD\frontend\lib\chat\data\datasource\chat_datasource.dart                                            | Dart     |        104 |          4 |         14 |        122 |
| d:\dev\1CS Projects\BDD\frontend\lib\chat\data\model\conversation_model.dart                                              | Dart     |         19 |         17 |          8 |         44 |
| d:\dev\1CS Projects\BDD\frontend\lib\chat\data\model\message_model.dart                                                   | Dart     |         25 |          3 |          7 |         35 |
| d:\dev\1CS Projects\BDD\frontend\lib\chat\data\repository\chat_repo_implem.dart                                           | Dart     |         49 |          0 |          7 |         56 |
| d:\dev\1CS Projects\BDD\frontend\lib\chat\domaine\entities\conversation_entity.dart                                       | Dart     |         17 |          1 |          4 |         22 |
| d:\dev\1CS Projects\BDD\frontend\lib\chat\domaine\entities\message_entity.dart                                            | Dart     |         20 |          1 |          4 |         25 |
| d:\dev\1CS Projects\BDD\frontend\lib\chat\domaine\repository\base_chat_repo.dart                                          | Dart     |         11 |          4 |          5 |         20 |
| d:\dev\1CS Projects\BDD\frontend\lib\chat\domaine\usecases\add_conversation_usecase.dart                                  | Dart     |         10 |          0 |          4 |         14 |
| d:\dev\1CS Projects\BDD\frontend\lib\chat\domaine\usecases\getAllCovnersationUseCase.dart                                 | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\chat\domaine\usecases\get_messages_usecase.dart                                      | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\chat\domaine\usecases\send_message_usecase.dart                                      | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\chat\presentation\controller\bloc\chat_bloc.dart                                     | Dart     |         99 |          4 |          8 |        111 |
| d:\dev\1CS Projects\BDD\frontend\lib\chat\presentation\controller\bloc\chat_event.dart                                    | Dart     |         25 |          0 |         10 |         35 |
| d:\dev\1CS Projects\BDD\frontend\lib\chat\presentation\controller\bloc\chat_state.dart                                    | Dart     |         67 |          9 |          8 |         84 |
| d:\dev\1CS Projects\BDD\frontend\lib\chat\presentation\screens\all_chat_screen.dart                                       | Dart     |        210 |          6 |         11 |        227 |
| d:\dev\1CS Projects\BDD\frontend\lib\chat\presentation\screens\chat_page.dart                                             | Dart     |        206 |          1 |         30 |        237 |
| d:\dev\1CS Projects\BDD\frontend\lib\chat\presentation\screens\chat_screen.dart                                           | Dart     |        122 |         34 |         11 |        167 |
| d:\dev\1CS Projects\BDD\frontend\lib\chat\presentation\screens\message_class.dart                                         | Dart     |         10 |          0 |          1 |         11 |
| d:\dev\1CS Projects\BDD\frontend\lib\cores\const\colors.dart                                                              | Dart     |          7 |          0 |          1 |          8 |
| d:\dev\1CS Projects\BDD\frontend\lib\cores\const\const.dart                                                               | Dart     |          3 |          0 |          0 |          3 |
| d:\dev\1CS Projects\BDD\frontend\lib\cores\error\exceptions.dart                                                          | Dart     |          9 |          1 |          8 |         18 |
| d:\dev\1CS Projects\BDD\frontend\lib\cores\error\failure.dart                                                             | Dart     |         13 |          0 |          7 |         20 |
| d:\dev\1CS Projects\BDD\frontend\lib\cores\network\api_constants.dart                                                     | Dart     |         16 |          0 |          6 |         22 |
| d:\dev\1CS Projects\BDD\frontend\lib\cores\network\error_message_model.dart                                               | Dart     |         17 |          0 |          4 |         21 |
| d:\dev\1CS Projects\BDD\frontend\lib\cores\services\service_locator.dart                                                  | Dart     |         83 |         12 |         11 |        106 |
| d:\dev\1CS Projects\BDD\frontend\lib\cores\utils\enums.dart                                                               | Dart     |          5 |          0 |          0 |          5 |
| d:\dev\1CS Projects\BDD\frontend\lib\cores\widgets\text_input_field.dart                                                  | Dart     |         45 |          1 |          4 |         50 |
| d:\dev\1CS Projects\BDD\frontend\lib\main.dart                                                                            | Dart     |         34 |          0 |          7 |         41 |
| d:\dev\1CS Projects\BDD\frontend\lib\notifications\presentation\screens\notifications.dart                                | Dart     |         69 |          0 |          6 |         75 |
| d:\dev\1CS Projects\BDD\frontend\lib\oldmain.dart                                                                         | Dart     |         36 |          1 |          7 |         44 |
| d:\dev\1CS Projects\BDD\frontend\lib\profile\presentation\component\bio_success_page.dart                                 | Dart     |         77 |          1 |          3 |         81 |
| d:\dev\1CS Projects\BDD\frontend\lib\profile\presentation\component\biography_page.dart                                   | Dart     |        138 |          5 |          6 |        149 |
| d:\dev\1CS Projects\BDD\frontend\lib\profile\presentation\screens\edit_profile.dart                                       | Dart     |        137 |          0 |          4 |        141 |
| d:\dev\1CS Projects\BDD\frontend\lib\profile\presentation\screens\profile_screen.dart                                     | Dart     |        434 |         26 |         17 |        477 |
| d:\dev\1CS Projects\BDD\frontend\lib\profile\presentation\screens\student_courses.dart                                    | Dart     |         14 |          0 |          3 |         17 |
| d:\dev\1CS Projects\BDD\frontend\lib\tempfile.dart                                                                        | Dart     |          0 |        205 |         31 |        236 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\data\datasource\todo_datasource.dart                                          | Dart     |         88 |          2 |         10 |        100 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\data\model\todo_model.dart                                                    | Dart     |         24 |          0 |          4 |         28 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\data\repository\todo_repo_emplem.dart                                         | Dart     |         61 |          0 |          8 |         69 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\entities\to_do_entity.dart                                            | Dart     |         15 |          1 |          4 |         20 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\repository\base_todo_repo.dart                                        | Dart     |         10 |          0 |          3 |         13 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\usecases\add_todo_usecase.dart                                        | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\usecases\delete_todo_usecase.dart                                     | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\usecases\edit_todo_usecase.dart                                       | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\usecases\get_done_todo_usecase.dart                                   | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\domaine\usecases\get_undone_todo_usecase.dart                                 | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\presentation\controller\todo_bloc\todo_bloc.dart                              | Dart     |         74 |          0 |          7 |         81 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\presentation\controller\todo_bloc\todo_event.dart                             | Dart     |         17 |          0 |          9 |         26 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\presentation\controller\todo_bloc\todo_state.dart                             | Dart     |         55 |         11 |          7 |         73 |
| d:\dev\1CS Projects\BDD\frontend\lib\to-dos\presentation\screens\todos.dart                                               | Dart     |        565 |         11 |         21 |        597 |
| Total                                                                                                                     |          |      9,630 |        639 |        837 |     11,106 |
+---------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
