Date : 2023-01-05 15:44:03
Directory : d:\dev\1CS Projects\BDD\frontend\lib
Total : 97 files,  9630 codes, 639 comments, 837 blanks, all 11106 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         97 |      9,630 |        639 |        837 |     11,106 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |         97 |      9,630 |        639 |        837 |     11,106 |
| . (Files)                                                                                                                 |          3 |         70 |        206 |         45 |        321 |
| MainScreen                                                                                                                |         30 |      4,993 |        268 |        306 |      5,567 |
| MainScreen\data                                                                                                           |          4 |        327 |         37 |         46 |        410 |
| MainScreen\data\datasource                                                                                                |          1 |        159 |          6 |         19 |        184 |
| MainScreen\data\model                                                                                                     |          2 |         82 |         31 |         17 |        130 |
| MainScreen\data\repository                                                                                                |          1 |         86 |          0 |         10 |         96 |
| MainScreen\domaine                                                                                                        |         11 |        213 |         17 |         56 |        286 |
| MainScreen\domaine\entities                                                                                               |          3 |        118 |         17 |         23 |        158 |
| MainScreen\domaine\repository                                                                                             |          1 |         17 |          0 |          5 |         22 |
| MainScreen\domaine\usecases                                                                                               |          7 |         78 |          0 |         28 |        106 |
| MainScreen\presentation                                                                                                   |         15 |      4,453 |        214 |        204 |      4,871 |
| MainScreen\presentation\component                                                                                         |          1 |         77 |          1 |          3 |         81 |
| MainScreen\presentation\controller                                                                                        |          3 |        340 |         25 |         45 |        410 |
| MainScreen\presentation\controller\bloc                                                                                   |          3 |        340 |         25 |         45 |        410 |
| MainScreen\presentation\screens                                                                                           |         11 |      4,036 |        188 |        156 |      4,380 |
| MainScreen\presentation\screens (Files)                                                                                   |          5 |      1,308 |         27 |         52 |      1,387 |
| MainScreen\presentation\screens\quizz.dart                                                                                |          1 |        447 |         45 |          9 |        501 |
| MainScreen\presentation\screens\search                                                                                    |          1 |        313 |         17 |         15 |        345 |
| MainScreen\presentation\screens\teacher                                                                                   |          4 |      1,968 |         99 |         80 |      2,147 |
| authentication                                                                                                            |         17 |      1,509 |         10 |        169 |      1,688 |
| authentication\data                                                                                                       |          3 |        292 |          1 |         42 |        335 |
| authentication\data\datasource                                                                                            |          1 |        183 |          1 |         24 |        208 |
| authentication\data\models                                                                                                |          1 |         34 |          0 |          4 |         38 |
| authentication\data\repository                                                                                            |          1 |         75 |          0 |         14 |         89 |
| authentication\domaine                                                                                                    |          8 |         94 |          1 |         44 |        139 |
| authentication\domaine\entities                                                                                           |          1 |         19 |          0 |          4 |         23 |
| authentication\domaine\repository                                                                                         |          1 |         12 |          1 |         14 |         27 |
| authentication\domaine\usecases                                                                                           |          6 |         63 |          0 |         26 |         89 |
| authentication\presentation                                                                                               |          6 |      1,123 |          8 |         83 |      1,214 |
| authentication\presentation\controller                                                                                    |          3 |        221 |          0 |         48 |        269 |
| authentication\presentation\controller\authentication_bloc                                                                |          3 |        221 |          0 |         48 |        269 |
| authentication\presentation\screens                                                                                       |          3 |        902 |          8 |         35 |        945 |
| chat                                                                                                                      |         18 |      1,027 |         84 |        144 |      1,255 |
| chat\data                                                                                                                 |          4 |        197 |         24 |         36 |        257 |
| chat\data\datasource                                                                                                      |          1 |        104 |          4 |         14 |        122 |
| chat\data\model                                                                                                           |          2 |         44 |         20 |         15 |         79 |
| chat\data\repository                                                                                                      |          1 |         49 |          0 |          7 |         56 |
| chat\domaine                                                                                                              |          7 |         91 |          6 |         29 |        126 |
| chat\domaine\entities                                                                                                     |          2 |         37 |          2 |          8 |         47 |
| chat\domaine\repository                                                                                                   |          1 |         11 |          4 |          5 |         20 |
| chat\domaine\usecases                                                                                                     |          4 |         43 |          0 |         16 |         59 |
| chat\presentation                                                                                                         |          7 |        739 |         54 |         79 |        872 |
| chat\presentation\controller                                                                                              |          3 |        191 |         13 |         26 |        230 |
| chat\presentation\controller\bloc                                                                                         |          3 |        191 |         13 |         26 |        230 |
| chat\presentation\screens                                                                                                 |          4 |        548 |         41 |         53 |        642 |
| cores                                                                                                                     |          9 |        198 |         14 |         41 |        253 |
| cores\const                                                                                                               |          2 |         10 |          0 |          1 |         11 |
| cores\error                                                                                                               |          2 |         22 |          1 |         15 |         38 |
| cores\network                                                                                                             |          2 |         33 |          0 |         10 |         43 |
| cores\services                                                                                                            |          1 |         83 |         12 |         11 |        106 |
| cores\utils                                                                                                               |          1 |          5 |          0 |          0 |          5 |
| cores\widgets                                                                                                             |          1 |         45 |          1 |          4 |         50 |
| notifications                                                                                                             |          1 |         69 |          0 |          6 |         75 |
| notifications\presentation                                                                                                |          1 |         69 |          0 |          6 |         75 |
| notifications\presentation\screens                                                                                        |          1 |         69 |          0 |          6 |         75 |
| profile                                                                                                                   |          5 |        800 |         32 |         33 |        865 |
| profile\presentation                                                                                                      |          5 |        800 |         32 |         33 |        865 |
| profile\presentation\component                                                                                            |          2 |        215 |          6 |          9 |        230 |
| profile\presentation\screens                                                                                              |          3 |        585 |         26 |         24 |        635 |
| to-dos                                                                                                                    |         14 |        964 |         25 |         93 |      1,082 |
| to-dos\data                                                                                                               |          3 |        173 |          2 |         22 |        197 |
| to-dos\data\datasource                                                                                                    |          1 |         88 |          2 |         10 |        100 |
| to-dos\data\model                                                                                                         |          1 |         24 |          0 |          4 |         28 |
| to-dos\data\repository                                                                                                    |          1 |         61 |          0 |          8 |         69 |
| to-dos\domaine                                                                                                            |          7 |         80 |          1 |         27 |        108 |
| to-dos\domaine\entities                                                                                                   |          1 |         15 |          1 |          4 |         20 |
| to-dos\domaine\repository                                                                                                 |          1 |         10 |          0 |          3 |         13 |
| to-dos\domaine\usecases                                                                                                   |          5 |         55 |          0 |         20 |         75 |
| to-dos\presentation                                                                                                       |          4 |        711 |         22 |         44 |        777 |
| to-dos\presentation\controller                                                                                            |          3 |        146 |         11 |         23 |        180 |
| to-dos\presentation\controller\todo_bloc                                                                                  |          3 |        146 |         11 |         23 |        180 |
| to-dos\presentation\screens                                                                                               |          1 |        565 |         11 |         21 |        597 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                  | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\data\datasource\course_datasource.dart                                    | Dart     |        159 |          6 |         19 |        184 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\data\model\course_detail_model.dart                                       | Dart     |         58 |         24 |         13 |         95 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\data\model\course_model.dart                                              | Dart     |         24 |          7 |          4 |         35 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\data\repository\course_repo_implem.dart                                   | Dart     |         86 |          0 |         10 |         96 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\entities\course_content.dart                                      | Dart     |         66 |         12 |         14 |         92 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\entities\course_detail_entity.dart                                | Dart     |         29 |          4 |          5 |         38 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\entities\suggested_courses.dart                                   | Dart     |         23 |          1 |          4 |         28 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\repository\base_course_repo.dart                                  | Dart     |         17 |          0 |          5 |         22 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\usecases\add_chapter_usecase.dart                                 | Dart     |         12 |          0 |          4 |         16 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\usecases\add_course_usecase.dart                                  | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\usecases\get_course_detail.dart                                   | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\usecases\get_courses_by_teacher.dart                              | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\usecases\get_suggested_courses.dart                               | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\usecases\search_courses_usecase.dart                              | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\domaine\usecases\search_users_usecase.dart                                | Dart     |         11 |          0 |          4 |         15 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\component\add_course_success.dart                            | Dart     |         77 |          1 |          3 |         81 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\controller\bloc\course_bloc.dart                             | Dart     |        173 |          0 |         13 |        186 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\controller\bloc\course_event.dart                            | Dart     |         44 |          0 |         16 |         60 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\controller\bloc\course_state.dart                            | Dart     |        123 |         25 |         16 |        164 |
| d:\dev\1CS Projects\BDD\frontend\lib\MainScreen\presentation\screens\base_screen.dart                                     | Dart     |        104 |         15 |          9 |        128 |
